intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
Headway,Horizon Blue Cross Blue Shield of NJ,99214,AK,125.55,2026-03-30,Est patient E/M moderate complexity
Headway,Independence Blue Cross PA,99214,AK,99.98,2026-03-30,Est patient E/M moderate complexity
Headway,Horizon Blue Cross Blue Shield of NJ,99215,AK,156.97,2026-03-30,Est patient E/M high complexity
Headway,Independence Blue Cross PA,99215,AK,140.77,2026-03-30,Est patient E/M high complexity
Headway,Horizon Blue Cross Blue Shield of NJ,90833,AK,71.03,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Independence Blue Cross PA,90833,AK,58.5,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Horizon Blue Cross Blue Shield of NJ,90836,AK,89.56,2026-03-30,Add-on psychotherapy 45 min with E/M
Headway,Independence Blue Cross PA,90836,AK,70.39,2026-03-30,Add-on psychotherapy 45 min with E/M
Headway,Horizon Blue Cross Blue Shield of NJ,90838,AK,118.45,2026-03-30,Add-on psychotherapy 60 min with E/M
Headway,Independence Blue Cross PA,90838,AK,93.36,2026-03-30,Add-on psychotherapy 60 min with E/M
Headway,Blue Cross Blue Shield of Arizona,99214,AZ,88.0,2026-03-30,Est patient E/M moderate complexity
Headway,Blue Cross Blue Shield of Arizona,99215,AZ,123.0,2026-03-30,Est patient E/M high complexity
Headway,Blue Cross Blue Shield of Arizona,90833,AZ,62.0,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Blue Cross Blue Shield of Arizona,90836,AZ,93.0,2026-03-30,Add-on psychotherapy 45 min with E/M
Headway,Blue Cross Blue Shield of Arizona,90838,AZ,123.0,2026-03-30,Add-on psychotherapy 60 min with E/M
Headway,Anthem BCBS Colorado HMO,99214,CO,105.0,2026-03-30,Est patient E/M moderate complexity
Headway,Anthem BCBS Colorado PPO,99214,CO,105.0,2026-03-30,Est patient E/M moderate complexity
Headway,Anthem BCBS Colorado HMO,99215,CO,141.0,2026-03-30,Est patient E/M high complexity
Headway,Anthem BCBS Colorado PPO,99215,CO,141.0,2026-03-30,Est patient E/M high complexity
Headway,Anthem BCBS Colorado HMO,90833,CO,67.0,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Anthem BCBS Colorado PPO,90833,CO,67.0,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Anthem BCBS Colorado HMO,90836,CO,107.0,2026-03-30,Add-on psychotherapy 45 min with E/M
Headway,Anthem BCBS Colorado PPO,90836,CO,107.0,2026-03-30,Add-on psychotherapy 45 min with E/M
Headway,Anthem BCBS Colorado HMO,90838,CO,146.0,2026-03-30,Add-on psychotherapy 60 min with E/M
Headway,Anthem BCBS Colorado PPO,90838,CO,146.0,2026-03-30,Add-on psychotherapy 60 min with E/M
Headway,Blue Cross Blue Shield of Massachusetts,99214,FL,132.0,2026-03-30,Est patient E/M moderate complexity
Headway,Florida Blue,99214,FL,93.0,2026-03-30,Est patient E/M moderate complexity
Headway,Florida Blue Medicare Advantage,99214,FL,93.0,2026-03-30,Est patient E/M moderate complexity
Headway,Horizon Blue Cross Blue Shield of NJ,99214,FL,125.55,2026-03-30,Est patient E/M moderate complexity
Headway,Independence Blue Cross PA,99214,FL,99.98,2026-03-30,Est patient E/M moderate complexity
Headway,Anthem BCBS Indiana,99214,FL,93.0,2026-06-23,Est patient E/M moderate complexity
Headway,Blue Cross Blue Shield of Massachusetts,99215,FL,185.0,2026-03-30,Est patient E/M high complexity
Headway,Florida Blue,99215,FL,131.62,2026-03-30,Est patient E/M high complexity
Headway,Florida Blue Medicare Advantage,99215,FL,131.62,2026-03-30,Est patient E/M high complexity
Headway,Horizon Blue Cross Blue Shield of NJ,99215,FL,156.97,2026-03-30,Est patient E/M high complexity
Headway,Independence Blue Cross PA,99215,FL,140.77,2026-03-30,Est patient E/M high complexity
Headway,Anthem BCBS Indiana,99215,FL,131.62,2026-06-23,Est patient E/M high complexity
Headway,Blue Cross Blue Shield of Massachusetts,90833,FL,71.0,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Florida Blue,90833,FL,52.63,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Florida Blue Medicare Advantage,90833,FL,59.0,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Horizon Blue Cross Blue Shield of NJ,90833,FL,51.58,2026-03-30,Add-on psychotherapy 30 min with E/M
Headway,Independence Blue Cross PA,90833,FL,71.03,2026-03-30,Add-on psychotherapy 30 min with E/M
