intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
Alma,Optum/UHC/Oscar,99214,AK,109.8,2026-06-01,MASTER updated Alma AK
Headway,Optum/UHC/Oscar,99214,AK,113.71,2026-06-01,MASTER updated Headway AK
Grow Therapy,Optum/UHC/Oscar,99214,AK,80.17,2026-06-01,MASTER updated Grow Therapy AK
Alma,Aetna,99214,AK,109.9,2026-06-01,MASTER updated Alma AK
Headway,Aetna,99214,AK,109.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Aetna,99214,AK,77.26,2026-06-01,MASTER updated Grow Therapy AK
Alma,Cigna,99214,AK,117.0,2026-06-01,MASTER updated Alma AK
Headway,Cigna,99214,AK,86.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Cigna,99214,AK,78.53,2026-06-01,MASTER updated Grow Therapy AK
Alma,BCBS - Massachusetts (virtual network),99214,AK,115.08,2026-06-01,MASTER updated Alma AK
Alma,Optum/UHC/Oscar,99215,AK,166.55,2026-06-01,MASTER updated Alma AK
Headway,Optum/UHC/Oscar,99215,AK,160.41,2026-06-01,MASTER updated Headway AK
Grow Therapy,Optum/UHC/Oscar,99215,AK,112.23,2026-06-01,MASTER updated Grow Therapy AK
Alma,Aetna,99215,AK,109.9,2026-06-01,MASTER updated Alma AK
Headway,Aetna,99215,AK,118.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Aetna,99215,AK,103.75,2026-06-01,MASTER updated Grow Therapy AK
Alma,Cigna,99215,AK,156.0,2026-06-01,MASTER updated Alma AK
Headway,Cigna,99215,AK,116.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Cigna,99215,AK,103.73,2026-06-01,MASTER updated Grow Therapy AK
Alma,BCBS - Massachusetts (virtual network),99215,AK,161.5,2026-06-01,MASTER updated Alma AK
Alma,Optum/UHC/Oscar,90833,AK,73.01,2026-06-01,MASTER updated Alma AK
Headway,Optum/UHC/Oscar,90833,AK,62.46,2026-06-01,MASTER updated Headway AK
Grow Therapy,Optum/UHC/Oscar,90833,AK,47.46,2026-06-01,MASTER updated Grow Therapy AK
Alma,Aetna,90833,AK,69.2,2026-06-01,MASTER updated Alma AK
Headway,Aetna,90833,AK,71.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Aetna,90833,AK,50.37,2026-06-01,MASTER updated Grow Therapy AK
Alma,Cigna,90833,AK,73.0,2026-06-01,MASTER updated Alma AK
Headway,Cigna,90833,AK,53.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Cigna,90833,AK,47.47,2026-06-01,MASTER updated Grow Therapy AK
Alma,BCBS - Massachusetts (virtual network),90833,AK,62.26,2026-06-01,MASTER updated Alma AK
Alma,Optum/UHC/Oscar,90836,AK,100.42,2026-06-01,MASTER updated Alma AK
Headway,Optum/UHC/Oscar,90836,AK,78.85,2026-06-01,MASTER updated Headway AK
Grow Therapy,Optum/UHC/Oscar,90836,AK,55.0,2026-06-01,MASTER updated Grow Therapy AK
Alma,Aetna,90836,AK,110.57,2026-06-01,MASTER updated Alma AK
Headway,Aetna,90836,AK,103.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Aetna,90836,AK,72.93,2026-06-01,MASTER updated Grow Therapy AK
Alma,Cigna,90836,AK,91.0,2026-06-01,MASTER updated Alma AK
Headway,Cigna,90836,AK,71.0,2026-06-01,MASTER updated Headway AK
Grow Therapy,Cigna,90836,AK,58.02,2026-06-01,MASTER updated Grow Therapy AK
Alma,BCBS - Massachusetts (virtual network),90836,AK,81.48,2026-06-01,MASTER updated Alma AK
Alma,Optum/UHC/Oscar,90838,AK,131.87,2026-06-01,MASTER updated Alma AK
Headway,Optum/UHC/Oscar,90838,AK,103.7,2026-06-01,MASTER updated Headway AK
Alma,Aetna,90838,AK,130.1,2026-06-01,MASTER updated Alma AK
Headway,Aetna,90838,AK,124.0,2026-06-01,MASTER updated Headway AK
Alma,Cigna,90838,AK,124.0,2026-06-01,MASTER updated Alma AK
Headway,Cigna,90838,AK,95.0,2026-06-01,MASTER updated Headway AK
Alma,BCBS - Massachusetts (virtual network),90838,AK,104.1,2026-06-01,MASTER updated Alma AK
Alma,Optum/UHC/Oscar,99214,AZ,118.8,2026-06-01,MASTER updated Alma AZ
Headway,Optum/UHC/Oscar,99214,AZ,107.12,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Optum/UHC/Oscar,99214,AZ,82.38,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Aetna,99214,AZ,117.9,2026-06-01,MASTER updated Alma AZ
Headway,Aetna,99214,AZ,113.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Aetna,99214,AZ,83.7,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Cigna,99214,AZ,117.0,2026-06-01,MASTER updated Alma AZ
Headway,Cigna,99214,AZ,98.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Cigna,99214,AZ,87.1,2026-06-01,MASTER updated Grow Therapy AZ
Alma,BCBS - Massachusetts (virtual network),99214,AZ,115.08,2026-06-01,MASTER updated Alma AZ
Grow Therapy,BCBS - Massachusetts (virtual network),99214,AZ,60.96,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Optum/UHC/Oscar,99215,AZ,166.55,2026-06-01,MASTER updated Alma AZ
Headway,Optum/UHC/Oscar,99215,AZ,151.51,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Optum/UHC/Oscar,99215,AZ,111.1,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Aetna,99215,AZ,117.9,2026-06-01,MASTER updated Alma AZ
Headway,Aetna,99215,AZ,122.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Aetna,99215,AZ,112.39,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Cigna,99215,AZ,156.0,2026-06-01,MASTER updated Alma AZ
Headway,Cigna,99215,AZ,132.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Cigna,99215,AZ,115.05,2026-06-01,MASTER updated Grow Therapy AZ
Alma,BCBS - Massachusetts (virtual network),99215,AZ,161.5,2026-06-01,MASTER updated Alma AZ
Grow Therapy,BCBS - Massachusetts (virtual network),99215,AZ,85.44,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Optum/UHC/Oscar,90833,AZ,74.01,2026-06-01,MASTER updated Alma AZ
Headway,Optum/UHC/Oscar,90833,AZ,58.87,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Optum/UHC/Oscar,90833,AZ,52.02,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Aetna,90833,AZ,81.2,2026-06-01,MASTER updated Alma AZ
Headway,Aetna,90833,AZ,73.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Aetna,90833,AZ,54.57,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Cigna,90833,AZ,73.0,2026-06-01,MASTER updated Alma AZ
Headway,Cigna,90833,AZ,59.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Cigna,90833,AZ,52.65,2026-06-01,MASTER updated Grow Therapy AZ
Alma,BCBS - Massachusetts (virtual network),90833,AZ,62.26,2026-06-01,MASTER updated Alma AZ
Grow Therapy,BCBS - Massachusetts (virtual network),90833,AZ,42.71,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Optum/UHC/Oscar,90836,AZ,101.42,2026-06-01,MASTER updated Alma AZ
Headway,Optum/UHC/Oscar,90836,AZ,74.31,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Optum/UHC/Oscar,90836,AZ,65.68,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Aetna,90836,AZ,117.57,2026-06-01,MASTER updated Alma AZ
Headway,Aetna,90836,AZ,107.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Aetna,90836,AZ,79.01,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Cigna,90836,AZ,91.0,2026-06-01,MASTER updated Alma AZ
Headway,Cigna,90836,AZ,81.0,2026-06-01,MASTER updated Headway AZ
Grow Therapy,Cigna,90836,AZ,64.35,2026-06-01,MASTER updated Grow Therapy AZ
Alma,BCBS - Massachusetts (virtual network),90836,AZ,81.48,2026-06-01,MASTER updated Alma AZ
Grow Therapy,BCBS - Massachusetts (virtual network),90836,AZ,64.06,2026-06-01,MASTER updated Grow Therapy AZ
Alma,Optum/UHC/Oscar,90838,AZ,139.87,2026-06-01,MASTER updated Alma AZ
