intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
Headway,Optum/UHC/Oscar,99204,AK,,,
Headway,Optum/UHC/Oscar,99205,AK,,,
Headway,Optum/UHC/Oscar,99214,AK,,,
Headway,Optum/UHC/Oscar,99215,AK,,,
Headway,Optum/UHC/Oscar,90833,AK,,,
Headway,Optum/UHC/Oscar,90836,AK,,,
Headway,Optum/UHC/Oscar,90838,AK,,,
Headway,Optum/UHC/Oscar,99204,AZ,,,
Headway,Optum/UHC/Oscar,99205,AZ,,,
Headway,Optum/UHC/Oscar,99214,AZ,,,
Headway,Optum/UHC/Oscar,99215,AZ,,,
Headway,Optum/UHC/Oscar,90833,AZ,,,
Headway,Optum/UHC/Oscar,90836,AZ,,,
Headway,Optum/UHC/Oscar,90838,AZ,,,
Headway,Optum/UHC/Oscar,99204,CO,,,
Headway,Optum/UHC/Oscar,99205,CO,,,
Headway,Optum/UHC/Oscar,99214,CO,,,
Headway,Optum/UHC/Oscar,99215,CO,,,
Headway,Optum/UHC/Oscar,90833,CO,,,
Headway,Optum/UHC/Oscar,90836,CO,,,
Headway,Optum/UHC/Oscar,90838,CO,,,
Headway,Optum/UHC/Oscar,99204,DC,,,
Headway,Optum/UHC/Oscar,99205,DC,,,
Headway,Optum/UHC/Oscar,99214,DC,,,
Headway,Optum/UHC/Oscar,99215,DC,,,
Headway,Optum/UHC/Oscar,90833,DC,,,
Headway,Optum/UHC/Oscar,90836,DC,,,
Headway,Optum/UHC/Oscar,90838,DC,,,
Headway,Optum/UHC/Oscar,99204,FL,,,
Headway,Optum/UHC/Oscar,99205,FL,,,
Headway,Optum/UHC/Oscar,99214,FL,,,
Headway,Optum/UHC/Oscar,99215,FL,,,
Headway,Optum/UHC/Oscar,90833,FL,,,
Headway,Optum/UHC/Oscar,90836,FL,,,
Headway,Optum/UHC/Oscar,90838,FL,,,
Headway,Optum/UHC/Oscar,99204,IA,,,
Headway,Optum/UHC/Oscar,99205,IA,,,
Headway,Optum/UHC/Oscar,99214,IA,,,
Headway,Optum/UHC/Oscar,99215,IA,,,
Headway,Optum/UHC/Oscar,90833,IA,,,
Headway,Optum/UHC/Oscar,90836,IA,,,
Headway,Optum/UHC/Oscar,90838,IA,,,
Headway,Optum/UHC/Oscar,99204,MD,,,
Headway,Optum/UHC/Oscar,99205,MD,,,
Headway,Optum/UHC/Oscar,99214,MD,,,
Headway,Optum/UHC/Oscar,99215,MD,,,
Headway,Optum/UHC/Oscar,90833,MD,,,
Headway,Optum/UHC/Oscar,90836,MD,,,
Headway,Optum/UHC/Oscar,90838,MD,,,
Headway,Optum/UHC/Oscar,99204,MN,,,
Headway,Optum/UHC/Oscar,99205,MN,,,
Headway,Optum/UHC/Oscar,99214,MN,,,
Headway,Optum/UHC/Oscar,99215,MN,,,
Headway,Optum/UHC/Oscar,90833,MN,,,
Headway,Optum/UHC/Oscar,90836,MN,,,
Headway,Optum/UHC/Oscar,90838,MN,,,
Headway,Optum/UHC/Oscar,99204,MT,,,
Headway,Optum/UHC/Oscar,99205,MT,,,
Headway,Optum/UHC/Oscar,99214,MT,,,
Headway,Optum/UHC/Oscar,99215,MT,,,
Headway,Optum/UHC/Oscar,90833,MT,,,
Headway,Optum/UHC/Oscar,90836,MT,,,
Headway,Optum/UHC/Oscar,90838,MT,,,
Headway,Optum/UHC/Oscar,99204,OR,,,
Headway,Optum/UHC/Oscar,99205,OR,,,
Headway,Optum/UHC/Oscar,99214,OR,,,
Headway,Optum/UHC/Oscar,99215,OR,,,
Headway,Optum/UHC/Oscar,90833,OR,,,
Headway,Optum/UHC/Oscar,90836,OR,,,
Headway,Optum/UHC/Oscar,90838,OR,,,
Headway,Optum/UHC/Oscar,99204,WA,,,
Headway,Optum/UHC/Oscar,99205,WA,,,
Headway,Optum/UHC/Oscar,99214,WA,,,
Headway,Optum/UHC/Oscar,99215,WA,,,
Headway,Optum/UHC/Oscar,90833,WA,,,
Headway,Optum/UHC/Oscar,90836,WA,,,
Headway,Optum/UHC/Oscar,90838,WA,,,
Headway,Aetna,99204,AK,,,
Headway,Aetna,99205,AK,,,
Headway,Aetna,99214,AK,,,
Headway,Aetna,99215,AK,,,
Headway,Aetna,90833,AK,,,
Headway,Aetna,90836,AK,,,
Headway,Aetna,90838,AK,,,
Headway,Aetna,99204,AZ,,,
Headway,Aetna,99205,AZ,,,
Headway,Aetna,99214,AZ,,,
Headway,Aetna,99215,AZ,,,
Headway,Aetna,90833,AZ,,,
Headway,Aetna,90836,AZ,,,
Headway,Aetna,90838,AZ,,,
Headway,Aetna,99204,CO,,,
Headway,Aetna,99205,CO,,,
Headway,Aetna,99214,CO,,,
Headway,Aetna,99215,CO,,,
Headway,Aetna,90833,CO,,,
Headway,Aetna,90836,CO,,,
Headway,Aetna,90838,CO,,,
Headway,Aetna,99204,DC,,,
Headway,Aetna,99205,DC,,,
Headway,Aetna,99214,DC,,,
Headway,Aetna,99215,DC,,,
Headway,Aetna,90833,DC,,,
Headway,Aetna,90836,DC,,,
Headway,Aetna,90838,DC,,,
Headway,Aetna,99204,FL,,,
Headway,Aetna,99205,FL,,,
Headway,Aetna,99214,FL,,,
Headway,Aetna,99215,FL,,,
Headway,Aetna,90833,FL,,,
Headway,Aetna,90836,FL,,,
Headway,Aetna,90838,FL,,,
Headway,Aetna,99204,IA,,,
Headway,Aetna,99205,IA,,,
Headway,Aetna,99214,IA,,,
Headway,Aetna,99215,IA,,,
Headway,Aetna,90833,IA,,,
Headway,Aetna,90836,IA,,,
Headway,Aetna,90838,IA,,,
Headway,Aetna,99204,MD,,,
Headway,Aetna,99205,MD,,,
Headway,Aetna,99214,MD,,,
Headway,Aetna,99215,MD,,,
Headway,Aetna,90833,MD,,,
Headway,Aetna,90836,MD,,,
Headway,Aetna,90838,MD,,,
Headway,Aetna,99204,MN,,,
Headway,Aetna,99205,MN,,,
Headway,Aetna,99214,MN,,,
Headway,Aetna,99215,MN,,,
Headway,Aetna,90833,MN,,,
Headway,Aetna,90836,MN,,,
Headway,Aetna,90838,MN,,,
Headway,Aetna,99204,MT,,,
Headway,Aetna,99205,MT,,,
Headway,Aetna,99214,MT,,,
Headway,Aetna,99215,MT,,,
Headway,Aetna,90833,MT,,,
Headway,Aetna,90836,MT,,,
Headway,Aetna,90838,MT,,,
Headway,Aetna,99204,OR,,,
Headway,Aetna,99205,OR,,,
Headway,Aetna,99214,OR,,,
Headway,Aetna,99215,OR,,,
Headway,Aetna,90833,OR,,,
Headway,Aetna,90836,OR,,,
Headway,Aetna,90838,OR,,,
Headway,Aetna,99204,WA,,,
Headway,Aetna,99205,WA,,,
Headway,Aetna,99214,WA,,,
Headway,Aetna,99215,WA,,,
Headway,Aetna,90833,WA,,,
Headway,Aetna,90836,WA,,,
Headway,Aetna,90838,WA,,,
Headway,Cigna,99204,AK,,,
Headway,Cigna,99205,AK,,,
Headway,Cigna,99214,AK,,,
Headway,Cigna,99215,AK,,,
Headway,Cigna,90833,AK,,,
Headway,Cigna,90836,AK,,,
Headway,Cigna,90838,AK,,,
Headway,Cigna,99204,AZ,,,
Headway,Cigna,99205,AZ,,,
Headway,Cigna,99214,AZ,,,
Headway,Cigna,99215,AZ,,,
Headway,Cigna,90833,AZ,,,
Headway,Cigna,90836,AZ,,,
Headway,Cigna,90838,AZ,,,
Headway,Cigna,99204,CO,,,
Headway,Cigna,99205,CO,,,
Headway,Cigna,99214,CO,,,
Headway,Cigna,99215,CO,,,
Headway,Cigna,90833,CO,,,
Headway,Cigna,90836,CO,,,
Headway,Cigna,90838,CO,,,
Headway,Cigna,99204,DC,,,
Headway,Cigna,99205,DC,,,
Headway,Cigna,99214,DC,,,
Headway,Cigna,99215,DC,,,
Headway,Cigna,90833,DC,,,
Headway,Cigna,90836,DC,,,
Headway,Cigna,90838,DC,,,
Headway,Cigna,99204,FL,,,
Headway,Cigna,99205,FL,,,
Headway,Cigna,99214,FL,,,
